** 2018 - DAY 23 **

part1: 399
z: 1.583ms
z: 0.441ms
z: 0.404ms
z: 0.53ms
z: 2.363ms
z: 0.644ms
z: 0.49ms
z: 0.084ms
z: 0.066ms
z: 0.087ms
z: 0.072ms
z: 0.069ms
z: 0.382ms
z: 0.061ms
z: 0.061ms
z: 0.06ms
z: 0.06ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.06ms
y: 9.537ms
z: 0.06ms
z: 0.063ms
z: 0.06ms
z: 0.06ms
z: 0.06ms
z: 0.061ms
z: 0.061ms
z: 0.059ms
z: 0.078ms
z: 0.061ms
z: 0.072ms
z: 0.065ms
z: 0.062ms
z: 0.061ms
z: 0.061ms
z: 0.061ms
z: 0.061ms
z: 0.06ms
z: 0.059ms
z: 0.059ms
z: 0.06ms
y: 2.116ms
z: 0.06ms
z: 0.06ms
z: 0.06ms
z: 0.06ms
z: 0.059ms
z: 0.059ms
z: 0.06ms
z: 0.059ms
z: 0.06ms
z: 0.059ms
z: 0.06ms
z: 0.059ms
z: 0.06ms
z: 0.06ms
z: 0.059ms
z: 0.059ms
z: 0.058ms
z: 0.06ms
z: 0.059ms
z: 0.059ms
z: 0.061ms
y: 2.162ms
z: 0.06ms
z: 0.059ms
z: 0.059ms
z: 0.06ms
z: 0.059ms
z: 0.059ms
z: 0.06ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.069ms
z: 0.059ms
z: 0.059ms
z: 0.058ms
z: 0.059ms
z: 0.06ms
z: 0.059ms
z: 0.06ms
z: 0.059ms
z: 0.06ms
y: 1.966ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.061ms
z: 0.059ms
z: 0.06ms
z: 0.059ms
z: 0.06ms
z: 0.059ms
z: 0.058ms
z: 0.059ms
z: 0.06ms
z: 0.059ms
z: 0.06ms
z: 0.064ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.06ms
y: 1.954ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.059ms
z: 0.063ms
z: 0.068ms
z: 0.064ms
z: 0.062ms
z: 0.063ms
z: 0.063ms
z: 0.063ms
z: 0.064ms
z: 0.063ms
z: 0.063ms
z: 0.063ms
z: 0.062ms
z: 0.063ms
z: 0.062ms
z: 0.062ms
y: 2.041ms
z: 0.063ms
z: 0.063ms
z: 0.063ms
z: 0.063ms
z: 0.063ms
z: 0.064ms
z: 0.063ms
z: 0.063ms
z: 0.063ms
z: 0.062ms
z: 0.063ms
z: 0.068ms
z: 0.063ms
z: 0.062ms
z: 0.063ms
z: 0.062ms
z: 0.064ms
z: 0.064ms
z: 0.063ms
z: 0.063ms
z: 0.062ms
y: 2.064ms
z: 0.062ms
z: 0.063ms
z: 0.063ms
z: 0.062ms
z: 0.063ms
z: 0.063ms
z: 0.063ms
z: 0.063ms
z: 0.062ms
z: 0.063ms
z: 0.064ms
z: 0.062ms
z: 0.063ms
z: 0.062ms
z: 0.067ms
z: 0.066ms
z: 0.063ms
z: 0.062ms
z: 0.063ms
z: 0.066ms
z: 0.067ms
y: 2.077ms
z: 0.063ms
z: 0.065ms
z: 0.066ms
z: 0.066ms
z: 0.065ms
z: 0.065ms
z: 0.064ms
z: 0.065ms
z: 0.064ms
z: 0.063ms
z: 0.064ms
z: 0.065ms
z: 0.064ms
z: 0.065ms
z: 0.063ms
z: 0.063ms
z: 0.063ms
z: 0.074ms
z: 0.063ms
z: 0.063ms
z: 0.062ms
y: 2.097ms
z: 0.062ms
z: 0.062ms
z: 0.062ms
z: 0.061ms
z: 0.062ms
z: 0.064ms
z: 0.063ms
z: 0.064ms
z: 0.063ms
z: 0.064ms
z: 0.063ms
z: 0.064ms
z: 0.062ms
z: 0.062ms
z: 0.062ms
z: 0.062ms
z: 0.063ms
z: 0.071ms
z: 0.063ms
z: 0.062ms
z: 0.062ms
y: 2.052ms
z: 0.06ms
z: 0.064ms
z: 0.306ms
z: 0.059ms
z: 0.059ms
z: 0.06ms
z: 0.058ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.058ms
z: 0.057ms
z: 0.058ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.071ms
z: 0.06ms
z: 0.059ms
z: 0.059ms
y: 2.233ms
z: 0.058ms
z: 0.058ms
z: 0.058ms
z: 0.06ms
z: 0.058ms
z: 0.058ms
z: 0.058ms
z: 0.058ms
z: 0.059ms
z: 0.058ms
z: 0.058ms
z: 0.058ms
z: 0.058ms
z: 0.059ms
z: 0.058ms
z: 0.058ms
z: 0.058ms
z: 0.059ms
z: 0.072ms
z: 0.057ms
z: 0.057ms
y: 1.921ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.058ms
z: 0.057ms
z: 0.058ms
z: 0.057ms
z: 0.059ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
y: 1.858ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
z: 0.058ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.058ms
z: 0.064ms
z: 0.058ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
y: 1.863ms
z: 0.057ms
z: 0.058ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.059ms
z: 0.057ms
z: 0.057ms
z: 0.058ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
y: 1.854ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
z: 0.056ms
z: 0.058ms
z: 0.057ms
y: 1.858ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.061ms
y: 1.873ms
z: 0.057ms
z: 0.057ms
z: 0.058ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
z: 0.057ms
y: 1.798ms
z: 0.056ms
z: 0.058ms
z: 0.057ms
z: 0.056ms
z: 0.057ms
z: 0.07ms
z: 0.056ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.056ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
y: 1.767ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.056ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.315ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.055ms
z: 0.054ms
z: 0.055ms
z: 0.056ms
z: 0.055ms
y: 2.022ms
z: 0.055ms
z: 0.054ms
z: 0.054ms
z: 0.055ms
z: 0.054ms
z: 0.055ms
z: 0.054ms
z: 0.054ms
z: 0.059ms
z: 0.054ms
z: 0.054ms
z: 0.055ms
z: 0.054ms
z: 0.055ms
z: 0.055ms
z: 0.054ms
z: 0.054ms
z: 0.055ms
z: 0.055ms
z: 0.057ms
z: 0.058ms
y: 1.761ms
z: 0.428ms
z: 0.06ms
z: 0.057ms
z: 0.057ms
z: 0.056ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
y: 2.218ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.058ms
z: 0.057ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.055ms
z: 0.055ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
y: 1.773ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.057ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.055ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.062ms
z: 0.056ms
z: 0.056ms
y: 1.772ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.056ms
z: 0.059ms
z: 0.056ms
y: 1.765ms
z: 0.056ms
z: 0.055ms
z: 0.068ms
z: 0.054ms
z: 0.054ms
z: 0.055ms
z: 0.056ms
z: 0.054ms
z: 0.054ms
z: 0.054ms
z: 0.055ms
z: 0.054ms
z: 0.055ms
z: 0.054ms
z: 0.067ms
z: 0.053ms
z: 0.053ms
z: 0.053ms
z: 0.053ms
z: 0.053ms
z: 0.053ms
y: 1.736ms
z: 0.052ms
z: 0.053ms
z: 0.053ms
z: 0.053ms
z: 0.054ms
z: 0.053ms
z: 0.052ms
z: 0.052ms
z: 0.052ms
z: 0.051ms
z: 0.052ms
z: 0.051ms
z: 0.051ms
z: 0.052ms
z: 0.052ms
z: 0.052ms
z: 0.052ms
z: 0.051ms
z: 0.052ms
z: 0.05ms
z: 0.05ms
y: 1.674ms
z: 0.05ms
z: 0.052ms
z: 0.051ms
z: 0.05ms
z: 0.05ms
z: 0.05ms
z: 0.056ms
z: 0.05ms
z: 0.05ms
z: 0.067ms
z: 0.049ms
z: 0.05ms
z: 0.05ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.051ms
z: 0.049ms
y: 1.595ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.05ms
z: 0.05ms
z: 0.05ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.051ms
z: 0.05ms
z: 0.049ms
z: 0.345ms
z: 0.051ms
z: 0.05ms
y: 1.89ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.05ms
y: 1.55ms
z: 0.048ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.054ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
y: 1.55ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
y: 1.542ms
z: 0.049ms
z: 0.051ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
y: 1.546ms
x: 70.486ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.052ms
z: 0.05ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
y: 2.212ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.052ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.053ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
y: 1.562ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.054ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
y: 1.58ms
z: 0.049ms
z: 0.049ms
z: 0.05ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
z: 0.049ms
y: 1.511ms
z: 0.049ms
z: 0.049ms
